instant,dteday,season,yr,workingday,weathersit,temp,hum,windspeed,casual,registered
142,05/22/2011,2,0,0,1,0.604167,0.749583,0.148008,1576,3084
143,05/23/2011,2,0,1,2,0.631667,0.81,0.233842,836,3438
144,05/24/2011,2,0,1,2,0.66,0.740833,0.207092,659,3833
145,05/25/2011,2,0,1,1,0.660833,0.69625,0.154233,740,4238
146,05/26/2011,2,0,1,1,0.708333,0.6775,0.199642,758,3919
147,05/27/2011,2,0,1,1,0.681667,0.65375,0.240679,871,3808
148,05/28/2011,2,0,0,1,0.655833,0.729583,0.230092,2001,2757
149,05/29/2011,2,0,0,1,0.6675,0.81875,0.213938,2355,2433
150,05/30/2011,2,0,0,1,0.733333,0.685,0.131225,1549,2549
151,05/31/2011,2,0,1,1,0.775,0.636667,0.111329,673,3309
152,06/01/2011,2,0,1,2,0.764167,0.677083,0.207092,513,3461
153,06/02/2011,2,0,1,1,0.715,0.305,0.292287,736,4232
154,06/03/2011,2,0,1,1,0.62,0.354167,0.253121,898,4414
155,06/04/2011,2,0,0,1,0.635,0.45625,0.123142,1869,3473
156,06/05/2011,2,0,0,2,0.648333,0.6525,0.138692,1685,3221
157,06/06/2011,2,0,1,1,0.678333,0.6,0.121896,673,3875
158,06/07/2011,2,0,1,1,0.7075,0.597917,0.187808,763,4070
159,06/08/2011,2,0,1,1,0.775833,0.622083,0.136817,676,3725
160,06/09/2011,2,0,1,2,0.808333,0.568333,0.149883,563,3352
161,06/10/2011,2,0,1,1,0.755,0.605,0.140554,815,3771
162,06/11/2011,2,0,0,1,0.725,0.654583,0.15485,1729,3237
163,06/12/2011,2,0,0,1,0.6925,0.747917,0.163567,1467,2993
164,06/13/2011,2,0,1,1,0.635,0.494583,0.30535,863,4157
165,06/14/2011,2,0,1,1,0.604167,0.507083,0.269283,727,4164
166,06/15/2011,2,0,1,1,0.626667,0.471667,0.167912,769,4411
167,06/16/2011,2,0,1,2,0.628333,0.688333,0.206471,545,3222
168,06/17/2011,2,0,1,1,0.649167,0.735833,0.143029,863,3981
169,06/18/2011,2,0,0,1,0.696667,0.670417,0.119408,1807,3312
170,06/19/2011,2,0,0,2,0.699167,0.666667,0.102,1639,3105
171,06/20/2011,2,0,1,2,0.635,0.74625,0.155475,699,3311
172,06/21/2011,3,0,1,2,0.680833,0.770417,0.171025,774,4061
173,06/22/2011,3,0,1,1,0.733333,0.7075,0.172262,661,3846
174,06/23/2011,3,0,1,2,0.728333,0.703333,0.238804,746,4044
175,06/24/2011,3,0,1,1,0.724167,0.573333,0.222025,969,4022
176,06/25/2011,3,0,0,1,0.695,0.483333,0.209571,1782,3420
177,06/26/2011,3,0,0,1,0.68,0.513333,0.0945333,1920,3385
178,06/27/2011,3,0,1,2,0.6825,0.658333,0.107588,854,3854
179,06/28/2011,3,0,1,1,0.744167,0.634167,0.144283,732,3916
180,06/29/2011,3,0,1,1,0.728333,0.497917,0.261821,848,4377
181,06/30/2011,3,0,1,1,0.696667,0.434167,0.185312,1027,4488
182,07/01/2011,3,0,1,1,0.7225,0.39625,0.102608,1246,4116
183,07/02/2011,3,0,0,1,0.738333,0.444583,0.115062,2204,2915
184,07/03/2011,3,0,0,2,0.716667,0.6825,0.228858,2282,2367
185,07/04/2011,3,0,0,2,0.726667,0.637917,0.0814792,3065,2978
186,07/05/2011,3,0,1,1,0.746667,0.590417,0.126258,1031,3634
187,07/06/2011,3,0,1,1,0.72,0.743333,0.149883,784,3845
188,07/07/2011,3,0,1,1,0.75,0.65125,0.1592,754,3838
189,07/08/2011,3,0,1,2,0.709167,0.757917,0.225129,692,3348
190,07/09/2011,3,0,0,1,0.733333,0.609167,0.167912,1988,3348
191,07/10/2011,3,0,0,1,0.7475,0.578333,0.183471,1743,3138
192,07/11/2011,3,0,1,1,0.7625,0.635833,0.282337,723,3363
193,07/12/2011,3,0,1,1,0.794167,0.559167,0.200254,662,3596
194,07/13/2011,3,0,1,1,0.746667,0.631667,0.146133,748,3594
195,07/14/2011,3,0,1,1,0.680833,0.47625,0.240667,888,4196
196,07/15/2011,3,0,1,1,0.663333,0.59125,0.182833,1318,4220
197,07/16/2011,3,0,0,1,0.686667,0.585,0.208342,2418,3505
198,07/17/2011,3,0,0,1,0.719167,0.604167,0.245033,2006,3296
199,07/18/2011,3,0,1,1,0.746667,0.65125,0.215804,841,3617
200,07/19/2011,3,0,1,1,0.776667,0.650417,0.1306,752,3789
201,07/20/2011,3,0,1,1,0.768333,0.707083,0.113817,644,3688
202,07/21/2011,3,0,1,2,0.815,0.69125,0.222021,632,3152
203,07/22/2011,3,0,1,1,0.848333,0.580417,0.1331,562,2825
204,07/23/2011,3,0,0,1,0.849167,0.5,0.131221,987,2298
205,07/24/2011,3,0,0,1,0.83,0.550833,0.169171,1050,2556
206,07/25/2011,3,0,1,1,0.743333,0.757083,0.0908083,568,3272
207,07/26/2011,3,0,1,1,0.771667,0.540833,0.200258,750,3840
208,07/27/2011,3,0,1,1,0.775,0.402917,0.183463,755,3901
209,07/28/2011,3,0,1,1,0.779167,0.583333,0.178479,606,3784
210,07/29/2011,3,0,1,1,0.838333,0.5425,0.174138,670,3176
211,07/30/2011,3,0,0,1,0.804167,0.465833,0.168537,1559,2916
212,07/31/2011,3,0,0,1,0.805833,0.480833,0.164813,1524,2778
213,08/01/2011,3,0,1,1,0.771667,0.550833,0.156717,729,3537
214,08/02/2011,3,0,1,1,0.783333,0.49125,0.20585,801,4044
215,08/03/2011,3,0,1,2,0.731667,0.6575,0.135583,467,3107
216,08/04/2011,3,0,1,2,0.71,0.7575,0.19715,799,3777
217,08/05/2011,3,0,1,1,0.710833,0.630833,0.184696,1023,3843
218,08/06/2011,3,0,0,2,0.716667,0.755,0.22825,1521,2773
219,08/07/2011,3,0,0,1,0.7425,0.752917,0.201487,1298,2487
220,08/08/2011,3,0,1,1,0.765,0.592083,0.192175,846,3480
221,08/09/2011,3,0,1,1,0.775,0.570417,0.151121,907,3695
222,08/10/2011,3,0,1,1,0.766667,0.424167,0.200258,884,3896
223,08/11/2011,3,0,1,1,0.7175,0.42375,0.164796,812,3980
224,08/12/2011,3,0,1,1,0.708333,0.415,0.125621,1051,3854
225,08/13/2011,3,0,0,2,0.685833,0.729583,0.211454,1504,2646
226,08/14/2011,3,0,0,2,0.676667,0.8175,0.222633,1338,2482
227,08/15/2011,3,0,1,1,0.665833,0.712083,0.208954,775,3563
228,08/16/2011,3,0,1,1,0.700833,0.578333,0.236329,721,4004
229,08/17/2011,3,0,1,1,0.723333,0.575417,0.143667,668,4026
230,08/18/2011,3,0,1,1,0.711667,0.654583,0.233208,639,3166
231,08/19/2011,3,0,1,2,0.685,0.722917,0.139308,797,3356
232,08/20/2011,3,0,0,1,0.6975,0.674167,0.104467,1914,3277
233,08/21/2011,3,0,0,1,0.710833,0.77,0.248754,1249,2624
234,08/22/2011,3,0,1,1,0.691667,0.47,0.27675,833,3925
235,08/23/2011,3,0,1,1,0.640833,0.455417,0.146763,1281,4614
236,08/24/2011,3,0,1,1,0.673333,0.605,0.253108,949,4181
237,08/25/2011,3,0,1,2,0.684167,0.771667,0.210833,435,3107
238,08/26/2011,3,0,1,1,0.7,0.76125,0.0839625,768,3893
239,08/27/2011,3,0,0,2,0.68,0.85,0.375617,226,889
240,08/28/2011,3,0,0,1,0.707059,0.561765,0.304659,1415,2919
241,08/29/2011,3,0,1,1,0.636667,0.554583,0.159825,729,3905
242,08/30/2011,3,0,1,1,0.639167,0.548333,0.125008,775,4429
243,08/31/2011,3,0,1,1,0.656667,0.597917,0.0833333,688,4370
244,09/01/2011,3,0,1,1,0.655,0.639167,0.141796,783,4332
245,09/02/2011,3,0,1,2,0.643333,0.727083,0.139929,875,3852
246,09/03/2011,3,0,0,1,0.669167,0.716667,0.185325,1935,2549
247,09/04/2011,3,0,0,1,0.709167,0.742083,0.206467,2521,2419
248,09/05/2011,3,0,0,2,0.673333,0.790417,0.212696,1236,2115
249,09/06/2011,3,0,1,3,0.54,0.886957,0.343943,204,2506
250,09/07/2011,3,0,1,3,0.599167,0.917083,0.0970208,118,1878
251,09/08/2011,3,0,1,3,0.633913,0.939565,0.192748,153,1689
252,09/09/2011,3,0,1,2,0.65,0.897917,0.124379,417,3127
253,09/10/2011,3,0,0,1,0.66,0.75375,0.153608,1750,3595
254,09/11/2011,3,0,0,1,0.653333,0.71375,0.115054,1633,3413
255,09/12/2011,3,0,1,1,0.644348,0.692174,0.088913,690,4023
256,09/13/2011,3,0,1,1,0.650833,0.7125,0.141804,701,4062
257,09/14/2011,3,0,1,1,0.673333,0.697083,0.1673,647,4138
258,09/15/2011,3,0,1,2,0.5775,0.709167,0.271146,428,3231
259,09/16/2011,3,0,1,2,0.469167,0.590417,0.164183,742,4018
260,09/17/2011,3,0,0,2,0.491667,0.718333,0.189675,1434,3077
261,09/18/2011,3,0,0,1,0.5075,0.695,0.178483,1353,2921
262,09/19/2011,3,0,1,2,0.549167,0.69,0.151742,691,3848
263,09/20/2011,3,0,1,2,0.561667,0.88125,0.134954,438,3203
264,09/21/2011,3,0,1,2,0.595,0.9,0.0964042,539,3813
265,09/22/2011,3,0,1,2,0.628333,0.902083,0.128125,555,4240
266,09/23/2011,4,0,1,2,0.609167,0.9725,0.0783667,258,2137
267,09/24/2011,4,0,0,2,0.606667,0.8625,0.0783833,1776,3647
268,09/25/2011,4,0,0,2,0.634167,0.845,0.0503792,1544,3466
269,09/26/2011,4,0,1,2,0.649167,0.848333,0.1107,684,3946
270,09/27/2011,4,0,1,2,0.636667,0.885417,0.118171,477,3643
271,09/28/2011,4,0,1,2,0.635,0.84875,0.148629,480,3427
272,09/29/2011,4,0,1,1,0.616667,0.699167,0.172883,653,4186
273,09/30/2011,4,0,1,1,0.564167,0.6475,0.206475,830,4372
274,10/01/2011,4,0,0,2,0.41,0.75375,0.292296,480,1949
275,10/02/2011,4,0,0,2,0.356667,0.791667,0.222013,616,2302
276,10/03/2011,4,0,1,2,0.384167,0.760833,0.0833458,330,3240
277,10/04/2011,4,0,1,1,0.484167,0.71,0.205854,486,3970
278,10/05/2011,4,0,1,1,0.538333,0.647917,0.17725,559,4267
279,10/06/2011,4,0,1,1,0.494167,0.620833,0.134954,639,4126
280,10/07/2011,4,0,1,1,0.510833,0.684167,0.0223917,949,4036
281,10/08/2011,4,0,0,1,0.521667,0.70125,0.0454042,2235,3174
282,10/09/2011,4,0,0,1,0.540833,0.7275,0.06345,2397,3114
283,10/10/2011,4,0,0,1,0.570833,0.73375,0.0423042,1514,3603
284,10/11/2011,4,0,1,2,0.566667,0.80875,0.143042,667,3896
285,10/12/2011,4,0,1,3,0.543333,0.90625,0.24815,217,2199
286,10/13/2011,4,0,1,2,0.589167,0.896667,0.141787,290,2623
287,10/14/2011,4,0,1,2,0.550833,0.71625,0.223883,529,3115
288,10/15/2011,4,0,0,1,0.506667,0.483333,0.258083,1899,3318
289,10/16/2011,4,0,0,1,0.511667,0.486667,0.281717,1748,3293
290,10/17/2011,4,0,1,1,0.534167,0.579583,0.175379,713,3857
291,10/18/2011,4,0,1,2,0.5325,0.701667,0.110087,637,4111
292,10/19/2011,4,0,1,3,0.541739,0.895217,0.243339,254,2170
293,10/20/2011,4,0,1,1,0.475833,0.63625,0.422275,471,3724
294,10/21/2011,4,0,1,1,0.4275,0.574167,0.221396,676,3628
295,10/22/2011,4,0,0,1,0.4225,0.629167,0.0926667,1499,2809
296,10/23/2011,4,0,0,1,0.421667,0.74125,0.0995125,1619,2762
297,10/24/2011,4,0,1,1,0.463333,0.772083,0.118792,699,3488
298,10/25/2011,4,0,1,1,0.471667,0.622917,0.166658,695,3992
299,10/26/2011,4,0,1,2,0.484167,0.720417,0.148642,404,3490
300,10/27/2011,4,0,1,2,0.47,0.812917,0.197763,240,2419
301,10/28/2011,4,0,1,2,0.330833,0.585833,0.229479,456,3291
302,10/29/2011,4,0,0,3,0.254167,0.8825,0.351371,57,570
303,10/30/2011,4,0,0,1,0.319167,0.62375,0.176617,885,2446
304,10/31/2011,4,0,1,1,0.34,0.703333,0.10635,362,3307
305,11/01/2011,4,0,1,1,0.400833,0.68375,0.135571,410,3658
306,11/02/2011,4,0,1,1,0.3775,0.71875,0.0820917,370,3816
307,11/03/2011,4,0,1,1,0.408333,0.702083,0.136817,318,3656
308,11/04/2011,4,0,1,2,0.403333,0.6225,0.271779,470,3576
309,11/05/2011,4,0,0,1,0.326667,0.519167,0.189062,1156,2770
310,11/06/2011,4,0,0,1,0.348333,0.734583,0.0920542,952,2697
311,11/07/2011,4,0,1,1,0.395,0.75875,0.057225,373,3662
312,11/08/2011,4,0,1,1,0.408333,0.721667,0.0690375,376,3829
313,11/09/2011,4,0,1,1,0.4,0.758333,0.0621958,305,3804
314,11/10/2011,4,0,1,2,0.38,0.813333,0.189067,190,2743
315,11/11/2011,4,0,0,1,0.324167,0.44625,0.314675,440,2928
316,11/12/2011,4,0,0,1,0.356667,0.552917,0.212062,1275,2792
317,11/13/2011,4,0,0,1,0.440833,0.458333,0.281721,1004,2713
318,11/14/2011,4,0,1,1,0.53,0.587083,0.306596,595,3891
319,11/15/2011,4,0,1,2,0.53,0.68875,0.199633,449,3746
320,11/16/2011,4,0,1,3,0.456667,0.93,0.136829,145,1672
321,11/17/2011,4,0,1,2,0.341667,0.575833,0.305362,139,2914
322,11/18/2011,4,0,1,1,0.274167,0.41,0.168533,245,3147
323,11/19/2011,4,0,0,1,0.329167,0.502083,0.224496,943,2720
324,11/20/2011,4,0,0,2,0.463333,0.684583,0.18595,787,2733
325,11/21/2011,4,0,1,3,0.4475,0.91,0.138054,220,2545
326,11/22/2011,4,0,1,3,0.416667,0.9625,0.118792,69,1538
327,11/23/2011,4,0,1,2,0.440833,0.757917,0.335825,112,2454
328,11/24/2011,4,0,0,1,0.373333,0.549167,0.167304,560,935
329,11/25/2011,4,0,1,1,0.375,0.64375,0.0988958,1095,1697
330,11/26/2011,4,0,0,1,0.375833,0.681667,0.0684208,1249,1819
331,11/27/2011,4,0,0,1,0.459167,0.698333,0.208954,810,2261
332,11/28/2011,4,0,1,1,0.503478,0.743043,0.142122,253,3614
333,11/29/2011,4,0,1,2,0.458333,0.830833,0.258092,96,2818
334,11/30/2011,4,0,1,1,0.325,0.613333,0.271158,188,3425
335,12/01/2011,4,0,1,1,0.3125,0.524583,0.220158,182,3545
336,12/02/2011,4,0,1,1,0.314167,0.625833,0.100754,268,3672
337,12/03/2011,4,0,0,1,0.299167,0.612917,0.0957833,706,2908
338,12/04/2011,4,0,0,1,0.330833,0.775833,0.0839583,634,2851
339,12/05/2011,4,0,1,2,0.385833,0.827083,0.0622083,233,3578
340,12/06/2011,4,0,1,3,0.4625,0.949583,0.232583,126,2468
341,12/07/2011,4,0,1,3,0.41,0.970417,0.266175,50,655
342,12/08/2011,4,0,1,1,0.265833,0.58,0.240058,150,3172
343,12/09/2011,4,0,1,1,0.290833,0.695833,0.0827167,261,3359
344,12/10/2011,4,0,0,1,0.275,0.5075,0.233221,502,2688
345,12/11/2011,4,0,0,1,0.220833,0.49,0.0665417,377,2366
346,12/12/2011,4,0,1,1,0.238333,0.670833,0.06345,143,3167
347,12/13/2011,4,0,1,1,0.2825,0.59,0.14055,155,3368
348,12/14/2011,4,0,1,2,0.3175,0.66375,0.0609583,178,3562
349,12/15/2011,4,0,1,2,0.4225,0.634167,0.268042,181,3528
350,12/16/2011,4,0,1,2,0.375,0.500417,0.260575,178,3399
351,12/17/2011,4,0,0,2,0.258333,0.560833,0.243167,275,2464
352,12/18/2011,4,0,0,1,0.238333,0.58625,0.169779,220,2211
353,12/19/2011,4,0,1,1,0.276667,0.6375,0.172896,260,3143
354,12/20/2011,4,0,1,2,0.385833,0.595417,0.0615708,216,3534
355,12/21/2011,1,0,1,2,0.428333,0.858333,0.2214,107,2553
356,12/22/2011,1,0,1,2,0.423333,0.7575,0.047275,227,2841
357,12/23/2011,1,0,1,1,0.373333,0.68625,0.274246,163,2046
358,12/24/2011,1,0,0,1,0.3025,0.5425,0.190304,155,856
359,12/25/2011,1,0,0,1,0.274783,0.681304,0.155091,303,451
360,12/26/2011,1,0,0,1,0.321739,0.506957,0.239465,430,887
361,12/27/2011,1,0,1,2,0.325,0.7625,0.18845,103,1059
362,12/28/2011,1,0,1,1,0.29913,0.503913,0.293961,255,2047
363,12/29/2011,1,0,1,1,0.248333,0.574167,0.119412,254,2169
364,12/30/2011,1,0,1,1,0.311667,0.636667,0.134337,491,2508
365,12/31/2011,1,0,0,1,0.41,0.615833,0.220154,665,1820
366,01/01/2012,1,1,0,1,0.37,0.6925,0.192167,686,1608
367,01/02/2012,1,1,0,1,0.273043,0.381304,0.329665,244,1707
368,01/03/2012,1,1,1,1,0.15,0.44125,0.365671,89,2147
369,01/04/2012,1,1,1,2,0.1075,0.414583,0.1847,95,2273
370,01/05/2012,1,1,1,1,0.265833,0.524167,0.129987,140,3132
371,01/06/2012,1,1,1,1,0.334167,0.542083,0.167908,307,3791
372,01/07/2012,1,1,0,1,0.393333,0.531667,0.174758,1070,3451
373,01/08/2012,1,1,0,1,0.3375,0.465,0.191542,599,2826
374,01/09/2012,1,1,1,2,0.224167,0.701667,0.0989,106,2270
375,01/10/2012,1,1,1,1,0.308696,0.646522,0.187552,173,3425
376,01/11/2012,1,1,1,2,0.274167,0.8475,0.131221,92,2085
